Monat;Tag;Wochentag;Anzahl Schritte
Juni;11;Mittwoch;1369
Juni;12;Donnerstag;13750
Juni;13;Freitag;11737
Juni;14;Samstag;9366
Juni;15;Sonntag;5475
Juni;16;Montag;9964
Juni;17;Dienstag;5201
Juni;18;Mittwoch;7479
Juni;19;Donnerstag;6600
Juni;20;Freitag;15316
Juni;21;Samstag;6157
Juni;22;Sonntag;2320
Juni;23;Montag;12551
Juni;24;Dienstag;2260
Juni;25;Mittwoch;9051
Juni;26;Donnerstag;9007
Juni;27;Freitag;1319
Juni;28;Samstag;888
Juni;29;Sonntag;705
Juni;30;Montag;9299
Juli;1;Dienstag;5456
Juli;2;Mittwoch;14780
Juli;3;Donnerstag;7016
Juli;4;Freitag;10972
Juli;5;Samstag;11319
Juli;6;Sonntag;5862
Juli;7;Montag;4489
Juli;8;Dienstag;9256
Juli;9;Mittwoch;5452
Juli;10;Donnerstag;8958
Juli;11;Freitag;7106
Juli;12;Samstag;7724
Juli;13;Sonntag;8740
Juli;14;Montag;7847
Juli;15;Dienstag;10680
Juli;16;Mittwoch;6448
Juli;17;Donnerstag;9592
Juli;18;Freitag;6121
Juli;19;Samstag;9774
Juli;20;Sonntag;4861
Juli;21;Montag;11940
Juli;22;Dienstag;4895
Juli;23;Mittwoch;11422
Juli;24;Donnerstag;9734
Juli;25;Freitag;16861
Juli;26;Samstag;8476
Juli;27;Sonntag;16988
Juli;28;Montag;8195
Juli;29;Dienstag;10507
Juli;30;Mittwoch;11133
Juli;31;Donnerstag;7835
August;1;Freitag;9616
August;2;Samstag;6206
August;3;Sonntag;11415
August;4;Montag;6087
August;5;Dienstag;11137
August;6;Mittwoch;6563
August;7;Donnerstag;12195
August;8;Freitag;5448
August;9;Samstag;7420
August;10;Sonntag;8033
August;11;Montag;15344
August;12;Dienstag;4598
August;13;Mittwoch;12360
August;14;Donnerstag;9550
August;15;Freitag;11112
August;16;Samstag;6083
August;17;Sonntag;11576
August;18;Montag;4771
August;19;Dienstag;10816
August;20;Mittwoch;10611
August;21;Donnerstag;11841
August;22;Freitag;14329
August;23;Samstag;6391
August;24;Sonntag;10284
August;25;Montag;4571
August;26;Dienstag;9023
August;27;Mittwoch;4754
August;28;Donnerstag;9616
August;29;Freitag;4600
August;30;Samstag;14272
August;31;Sonntag;6215
September;1;Montag;14998
September;2;Dienstag;4848
September;3;Mittwoch;9692
September;4;Donnerstag;6784
September;5;Freitag;9642
September;6;Samstag;13612
September;7;Sonntag;8340
September;8;Montag;9263
September;9;Dienstag;4441
September;10;Mittwoch;10229
September;11;Donnerstag;6578
September;12;Freitag;9802
September;13;Samstag;6231
September;14;Sonntag;8993
September;15;Montag;5589
September;16;Dienstag;12599
September;17;Mittwoch;7996
September;18;Donnerstag;8988
September;19;Freitag;7357
September;20;Samstag;2756
September;21;Sonntag;4274
September;22;Montag;10626
September;23;Dienstag;2245
September;24;Mittwoch;449
September;25;Donnerstag;271
September;26;Freitag;6036
September;27;Samstag;8034
September;28;Sonntag;6595
September;29;Montag;12011
September;30;Dienstag;6354
Oktober;1;Mittwoch;10661
Oktober;2;Donnerstag;13639
Oktober;3;Freitag;4131
Oktober;4;Samstag;8946
Oktober;5;Sonntag;8823
Oktober;6;Montag;18484
Oktober;7;Dienstag;6968
Oktober;8;Mittwoch;14909
Oktober;9;Donnerstag;13303
Oktober;10;Freitag;10730
Oktober;11;Samstag;11661
Oktober;12;Sonntag;9260
Oktober;13;Montag;14918
Oktober;14;Dienstag;11038
Oktober;15;Mittwoch;9901
Oktober;16;Donnerstag;11075
Oktober;17;Freitag;860
Oktober;18;Samstag;14326
Oktober;19;Sonntag;2664
Oktober;20;Montag;11823
Oktober;21;Dienstag;16300
Oktober;22;Mittwoch;829
Oktober;23;Donnerstag;10637
Oktober;24;Freitag;9604
Oktober;25;Samstag;7301
Oktober;26;Sonntag;7653
Oktober;27;Montag;15915
Oktober;28;Dienstag;12813
Oktober;29;Mittwoch;10531
Oktober;30;Donnerstag;6134
Oktober;31;Freitag;10649
November;1;Samstag;4212
November;2;Sonntag;8881
November;3;Montag;13768
November;4;Dienstag;9559
November;5;Mittwoch;10644
November;6;Donnerstag;10996
November;7;Freitag;10494
November;8;Samstag;10078
November;9;Sonntag;4116
November;10;Montag;10390
November;11;Dienstag;10290
November;12;Mittwoch;6526
November;13;Donnerstag;6287
November;14;Freitag;8383
November;15;Samstag;9552
November;16;Sonntag;5844
November;17;Montag;9714
November;18;Dienstag;8415
November;19;Mittwoch;9537
November;20;Donnerstag;10702
November;21;Freitag;7712
November;22;Samstag;745
November;23;Sonntag;4536
November;24;Montag;10687
November;25;Dienstag;3921
November;26;Mittwoch;8794
November;27;Donnerstag;3736
November;28;Freitag;8575
November;29;Samstag;13491
November;30;Sonntag;11755
Dezember;1;Montag;5949
Dezember;2;Dienstag;11666
Dezember;3;Mittwoch;7196
Dezember;4;Donnerstag;13147
Dezember;5;Freitag;18707
Dezember;6;Samstag;3498
Dezember;7;Sonntag;1583
Dezember;8;Montag;10118
Dezember;9;Dienstag;8488
Dezember;10;Mittwoch;9201
Dezember;11;Donnerstag;8504
Dezember;12;Freitag;855
Dezember;13;Samstag;1068
Dezember;14;Sonntag;9156
Dezember;15;Montag;2961
Dezember;16;Dienstag;774
Dezember;17;Mittwoch;3164
Dezember;18;Donnerstag;1103
Dezember;19;Freitag;557
Dezember;20;Samstag;1375
Dezember;21;Sonntag;2159
Dezember;22;Montag;397
Dezember;23;Dienstag;2037
Dezember;24;Mittwoch;1982
Dezember;25;Donnerstag;3112
Dezember;26;Freitag;871
Dezember;27;Samstag;8112
Dezember;28;Sonntag;1014
Dezember;29;Montag;4717
Dezember;30;Dienstag;902
Dezember;31;Mittwoch;1322
